DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,GrupoEtarioDelSolicitante,NumeroDeSolicitantes
Amazonas,Puerto Alegría,91530,Mayor Adulto Entre 70-79 Años,2
Atlántico,Baranoa,08078,Adulto,1
Antioquia,Chigorodó,05172,Mayor Joven Entre 60-69 Años,127
Antioquia,Amagá,05030,Nonagenario,5
Sucre,Corozal,70215,Adulto,4
Cundinamarca,Pasca,25535,Mayor Adulto Entre 70-79 Años,3
Vaupés,Yavaraté,97889,Adulto,1
Risaralda,Quinchía,66594,Adolescencia,0
Santander,San Joaquín,68682,NoReporta,0
Nariño,Albán,52019,Adulto Joven,1
Norte Santander,Arboledas,54051,NoReporta,2
Meta,La Macarena,50350,Adolescencia,0
Cauca,Caldono,19137,Nonagenario,2
Cundinamarca,Vianí,25867,NoReporta,2
Quindío,Buenavista,63111,Infancia,1
Santander,Zapatoca,68895,Mayor Adulto Entre 70-79 Años,8
Nariño,Cumbal,52227,Mayor Adulto Entre 70-79 Años,5
Bolívar,San Juan Nepomuceno,13657,Adolescencia,1
Magdalena,Nueva Granada,47460,Mayor Joven Entre 60-69 Años,7
Antioquia,Puerto Triunfo,05591,NoReporta,3
Antioquia,Heliconia,05347,Adulto,46
Boyacá,Páez,15514,Mayor Joven Entre 60-69 Años,24
Nariño,Los Andes,52418,Mayor Adulto Entre 70-79 Años,92
Guaviare,San José Del Guaviare,95001,Adulto Joven,4
Chocó,Condoto,27205,Adulto Joven,1
Cundinamarca,Guataquí,25324,Adulto,2
Cesar,Agustín Codazzi,20013,NoReporta,7
Cundinamarca,Puerto Salgar,25572,Nonagenario,1
Norte Santander,Silos,54743,Adulto,1
Bolívar,Hatillo De Loba,13300,Mayor Adulto Entre 70-79 Años,4
Nariño,Puerres,52573,Mayor Mayor Entre 80-89 Años,5
Valle Del Cauca,Trujillo,76828,Nonagenario,2
Putumayo,Puerto Guzmán,86571,Adulto,778
Magdalena,Sabanas de San Ángel,47660,Centenario,1
Antioquia,Necoclí,05490,NoReporta,18
Chocó,Bagadó,27073,NoReporta,1
Putumayo,Santiago,86760,Mayor Joven Entre 60-69 Años,29
Chocó,Medio Atrato,27425,Mayor Joven Entre 60-69 Años,12
Risaralda,Belén De Umbría,66088,Centenario,0
Bolívar,El Guamo,13248,Adulto Joven,2
Caldas,Riosucio,17614,Adulto,31
Boyacá,Susacón,15774,Mayor Mayor Entre 80-89 Años,2
Chocó,Sipí,27745,Nonagenario,1
Tolima,Rovira,73624,Nonagenario,9
Chocó,Atrato,27050,Adulto,4
Valle Del Cauca,Trujillo,76828,Mayor Adulto Entre 70-79 Años,61
Santander,Suaita,68770,Mayor Joven Entre 60-69 Años,2
Meta,Puerto Lleras,50577,Mayor Adulto Entre 70-79 Años,78
Cesar,San Alberto,20710,Mayor Adulto Entre 70-79 Años,87
Cesar,Pelaya,20550,Mayor Adulto Entre 70-79 Años,84
La Guajira,San Juan Del Cesar,44650,Mayor Adulto Entre 70-79 Años,18
Caldas,Riosucio,17614,Nonagenario,2
Cundinamarca,Caparrapí,25148,Mayor Joven Entre 60-69 Años,24
Meta,San Carlos De Guaroa,50680,Mayor Adulto Entre 70-79 Años,2
Guainía,Barranco Minas,94343,Nonagenario,1
Cauca,Suárez,19780,Mayor Joven Entre 60-69 Años,28
Boyacá,Guayatá,15325,Adulto,1
Antioquia,Vegachí,05858,Nonagenario,1
Cundinamarca,Villeta,25875,Nonagenario,2
Antioquia,Ituango,05361,Mayor Mayor Entre 80-89 Años,27
Norte Santander,Herrán,54347,Adulto,1
Bolívar,Montecristo,13458,Mayor Joven Entre 60-69 Años,27
Norte Santander,Villa Del Rosario,54874,Nonagenario,1
Chocó,Río Quito,27600,NoReporta,1
Córdoba,Buenavista,23079,Mayor Mayor Entre 80-89 Años,4
Putumayo,Puerto Leguízamo,86573,Mayor Joven Entre 60-69 Años,134
Guaviare,El Retorno,95025,Mayor Mayor Entre 80-89 Años,10
Antioquia,Remedios,05604,Mayor Adulto Entre 70-79 Años,56
Antioquia,Argelia,05055,Mayor Mayor Entre 80-89 Años,44
Nariño,Roberto Payán,52621,Mayor Adulto Entre 70-79 Años,23
Antioquia,Guadalupe,05315,Mayor Mayor Entre 80-89 Años,2
Magdalena,Ariguaní,47058,Adulto,28
Chocó,Condoto,27205,Nonagenario,3
Risaralda,Quinchía,66594,Mayor Mayor Entre 80-89 Años,40
Meta,Puerto Concordia,50450,Mayor Adulto Entre 70-79 Años,33
Huila,Palermo,41524,Adulto,23
Magdalena,Ciénaga,47189,Nonagenario,8
Antioquia,Santa Bárbara,05679,Mayor Joven Entre 60-69 Años,7
Casanare,Monterrey,85162,Mayor Adulto Entre 70-79 Años,15
La Guajira,Distracción,44098,Adulto,11
Chocó,Medio San Juan,27450,Mayor Adulto Entre 70-79 Años,2
Cauca,Toribio,19821,Mayor Joven Entre 60-69 Años,19
Guaviare,Miraflores,95200,Mayor Joven Entre 60-69 Años,280
